Date (AST),Parameter ,Value (m)
2021-05-02 15:55,46,2.752
2021-05-02 16:00,46,2.751
2021-05-02 16:05,46,2.75
2021-05-02 16:10,46,2.751
2021-05-02 16:15,46,2.75
2021-05-02 16:20,46,2.747
2021-05-02 16:25,46,2.751
2021-05-02 16:30,46,2.749
2021-05-02 16:35,46,2.753
2021-05-02 16:40,46,2.75
2021-05-02 16:45,46,2.753
2021-05-02 16:50,46,2.752
2021-05-02 16:55,46,2.751
2021-05-02 17:00,46,2.755
2021-05-02 17:05,46,2.752
2021-05-02 17:10,46,2.753
2021-05-02 17:15,46,2.753
2021-05-02 17:20,46,2.752
2021-05-02 17:25,46,2.746
2021-05-02 17:30,46,2.749
2021-05-02 17:35,46,2.75
2021-05-02 17:40,46,2.747
2021-05-02 17:45,46,2.746
2021-05-02 17:50,46,2.752
2021-05-02 17:55,46,2.747
2021-05-02 18:00,46,2.747
2021-05-02 18:05,46,2.747
2021-05-02 18:10,46,2.744
2021-05-02 18:15,46,2.742
2021-05-02 18:20,46,2.744
2021-05-02 18:25,46,2.742
2021-05-02 18:30,46,2.744
2021-05-02 18:35,46,2.746
2021-05-02 18:40,46,2.748
2021-05-02 18:45,46,2.746
2021-05-02 18:50,46,2.742
2021-05-02 18:55,46,2.739
2021-05-02 19:00,46,2.739
2021-05-02 19:05,46,2.74
2021-05-02 19:10,46,2.737
2021-05-02 19:15,46,2.739
2021-05-02 19:20,46,2.742
2021-05-02 19:25,46,2.745
2021-05-02 19:30,46,2.749
2021-05-02 19:35,46,2.747
2021-05-02 19:40,46,2.749
2021-05-02 19:45,46,2.749
2021-05-02 19:50,46,2.75
2021-05-02 19:55,46,2.749
2021-05-02 20:00,46,2.752
2021-05-02 20:05,46,2.748
2021-05-02 20:10,46,2.747
2021-05-02 20:15,46,2.749
2021-05-02 20:20,46,2.749
2021-05-02 20:25,46,2.746
2021-05-02 20:30,46,2.748
2021-05-02 20:35,46,2.746
2021-05-02 20:40,46,2.744
2021-05-02 20:45,46,2.745
2021-05-02 20:50,46,2.743
2021-05-02 20:55,46,2.745
2021-05-02 21:00,46,2.743
2021-05-02 21:05,46,2.737
2021-05-02 21:10,46,2.738
2021-05-02 21:15,46,2.74
2021-05-02 21:20,46,2.734
2021-05-02 21:25,46,2.741
2021-05-02 21:30,46,2.741
2021-05-02 21:35,46,2.734
2021-05-02 21:40,46,2.734
2021-05-02 21:45,46,2.742
2021-05-02 21:50,46,2.74
2021-05-02 21:55,46,2.737
2021-05-02 22:00,46,2.741
2021-05-02 22:05,46,2.737
2021-05-02 22:10,46,2.739
2021-05-02 22:15,46,2.739
2021-05-02 22:20,46,2.74
2021-05-02 22:25,46,2.741
2021-05-02 22:30,46,2.743
2021-05-02 22:35,46,2.743
2021-05-02 22:40,46,2.745
2021-05-02 22:45,46,2.748
2021-05-02 22:50,46,2.751
2021-05-02 22:55,46,2.746
2021-05-02 23:00,46,2.747
2021-05-02 23:05,46,2.748
2021-05-02 23:10,46,2.747
2021-05-02 23:15,46,2.746
2021-05-02 23:20,46,2.746
2021-05-02 23:25,46,2.744
2021-05-02 23:30,46,2.743
2021-05-02 23:35,46,2.743
2021-05-02 23:40,46,2.743
2021-05-02 23:45,46,2.741
2021-05-02 23:50,46,2.74
2021-05-02 23:55,46,2.743
2021-05-03 0:00,46,2.741
2021-05-03 0:05,46,2.737
2021-05-03 0:10,46,2.737
2021-05-03 0:15,46,2.74
2021-05-03 0:20,46,2.737
2021-05-03 0:25,46,2.739
2021-05-03 0:30,46,2.738
2021-05-03 0:35,46,2.741
2021-05-03 0:40,46,2.742
2021-05-03 0:45,46,2.74
2021-05-03 0:50,46,2.738
2021-05-03 0:55,46,2.738
2021-05-03 1:00,46,2.742
2021-05-03 1:05,46,2.739
2021-05-03 1:10,46,2.742
2021-05-03 1:15,46,2.74
2021-05-03 1:20,46,2.741
2021-05-03 1:25,46,2.741
2021-05-03 1:30,46,2.74
2021-05-03 1:35,46,2.741
2021-05-03 1:40,46,2.741
2021-05-03 1:45,46,2.741
2021-05-03 1:50,46,2.74
2021-05-03 1:55,46,2.74
2021-05-03 2:00,46,2.742
2021-05-03 2:05,46,2.743
2021-05-03 2:10,46,2.743
2021-05-03 2:15,46,2.742
2021-05-03 2:20,46,2.741
2021-05-03 2:25,46,2.741
2021-05-03 2:30,46,2.744
2021-05-03 2:35,46,2.744
2021-05-03 2:40,46,2.743
2021-05-03 2:45,46,2.741
2021-05-03 2:50,46,2.741
2021-05-03 2:55,46,2.741
2021-05-03 3:00,46,2.741
2021-05-03 3:05,46,2.741
2021-05-03 3:10,46,2.743
2021-05-03 3:15,46,2.743
2021-05-03 3:20,46,2.744
2021-05-03 3:25,46,2.742
2021-05-03 3:30,46,2.742
2021-05-03 3:35,46,2.743
2021-05-03 3:40,46,2.743
2021-05-03 3:45,46,2.739
2021-05-03 3:50,46,2.741
2021-05-03 3:55,46,2.744
2021-05-03 4:00,46,2.741
2021-05-03 4:05,46,2.742
2021-05-03 4:10,46,2.739
2021-05-03 4:15,46,2.735
2021-05-03 4:20,46,2.734
2021-05-03 4:25,46,2.736
2021-05-03 4:30,46,2.733
2021-05-03 4:35,46,2.731
2021-05-03 4:40,46,2.731
2021-05-03 4:45,46,2.733
2021-05-03 4:50,46,2.733
2021-05-03 4:55,46,2.729
2021-05-03 5:00,46,2.732
2021-05-03 5:05,46,2.732
2021-05-03 5:10,46,2.729
2021-05-03 5:15,46,2.731
2021-05-03 5:20,46,2.734
2021-05-03 5:25,46,2.732
2021-05-03 5:30,46,2.732
2021-05-03 5:35,46,2.735
2021-05-03 5:40,46,2.735
2021-05-03 5:45,46,2.732
2021-05-03 5:50,46,2.731
2021-05-03 5:55,46,2.733
2021-05-03 6:00,46,2.735
2021-05-03 6:05,46,2.732
2021-05-03 6:10,46,2.733
2021-05-03 6:15,46,2.731
2021-05-03 6:20,46,2.729
2021-05-03 6:25,46,2.729
2021-05-03 6:30,46,2.729
2021-05-03 6:35,46,2.73
2021-05-03 6:40,46,2.729
2021-05-03 6:45,46,2.729
2021-05-03 6:50,46,2.729
2021-05-03 6:55,46,2.73
2021-05-03 7:00,46,2.727
2021-05-03 7:05,46,2.727
2021-05-03 7:10,46,2.728
2021-05-03 7:15,46,2.726
2021-05-03 7:20,46,2.726
2021-05-03 7:25,46,2.728
2021-05-03 7:30,46,2.726
2021-05-03 7:35,46,2.725
2021-05-03 7:40,46,2.725
2021-05-03 7:45,46,2.72
2021-05-03 7:50,46,2.721
2021-05-03 7:55,46,2.722
2021-05-03 8:00,46,2.719
2021-05-03 8:05,46,2.719
2021-05-03 8:10,46,2.722
2021-05-03 8:15,46,2.724
2021-05-03 8:20,46,2.727
2021-05-03 8:25,46,2.724
2021-05-03 8:30,46,2.722
2021-05-03 8:35,46,2.725
2021-05-03 8:40,46,2.722
2021-05-03 8:45,46,2.72
2021-05-03 8:50,46,2.725
2021-05-03 8:55,46,2.724
2021-05-03 9:00,46,2.721
2021-05-03 9:05,46,2.728
2021-05-03 9:10,46,2.725
2021-05-03 9:15,46,2.723
2021-05-03 9:20,46,2.726
2021-05-03 9:25,46,2.728
2021-05-03 9:30,46,2.727
2021-05-03 9:35,46,2.726
2021-05-03 9:40,46,2.728
2021-05-03 9:45,46,2.724
2021-05-03 9:50,46,2.721
2021-05-03 9:55,46,2.724
2021-05-03 10:00,46,2.727
2021-05-03 10:05,46,2.729
2021-05-03 10:10,46,2.725
2021-05-03 10:15,46,2.725
2021-05-03 10:20,46,2.725
2021-05-03 10:25,46,2.725
2021-05-03 10:30,46,2.731
2021-05-03 10:35,46,2.731
2021-05-03 10:40,46,2.721
2021-05-03 10:45,46,2.722
2021-05-03 10:50,46,2.728
2021-05-03 10:55,46,2.726
2021-05-03 11:00,46,2.728
2021-05-03 11:05,46,2.727
2021-05-03 11:10,46,2.729
2021-05-03 11:15,46,2.722
2021-05-03 11:20,46,2.727
2021-05-03 11:25,46,2.722
2021-05-03 11:30,46,2.724
2021-05-03 11:35,46,2.719
2021-05-03 11:40,46,2.732
2021-05-03 11:45,46,2.717
2021-05-03 11:50,46,2.72
2021-05-03 11:55,46,2.721
2021-05-03 12:00,46,2.718
2021-05-03 12:05,46,2.716
2021-05-03 12:10,46,2.726
2021-05-03 12:15,46,2.719
2021-05-03 12:20,46,2.723
2021-05-03 12:25,46,2.723
2021-05-03 12:30,46,2.721
2021-05-03 12:35,46,2.722
2021-05-03 12:40,46,2.722
2021-05-03 12:45,46,2.727
2021-05-03 12:50,46,2.723
2021-05-03 12:55,46,2.729
2021-05-03 13:00,46,2.721
